OOMP Parts -- CSV, 2016-06-14
OOMP ID,Name,Type,Size/Package,Color/Material,Description/Value,Index/Rating,SEEED OPL ID,Manufacturer 1,Man 1 P/N,Manufacturer 2,Man 2 P/N,Distributor 1,Dist 1 P/N,Distributor 2,Dist 2 P/N,Datasheet,
"ANTE-18-X-M4X4-01","18 mm Quad Band (850/900/1800/1900 Mhz) Antenna","Antenna","18 mm","","Quad Band (850/900/1800/1900 Mhz)","",318020014 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ANTE-18-X-M4X4-01/ANTE-18-X-M4X4-01-datasheet.pdf,
"ANTE-40-X-G24-01","40 mm 2.4 Ghz Antenna","Antenna","40 mm","","2.4 Ghz","",318020019 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ANTE-40-X-G24-01/ANTE-40-X-G24-01-datasheet.pdf,
"ANTE-SMA-X-G24-01","SMA 2.4 Ghz Antenna","Antenna","SMA","","2.4 Ghz","",318020010 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/ANTE-SMA-X-G24-01/ANTE-SMA-X-G24-01-datasheet.pdf,
"BAHO-CR1220-M-SMDS-01","CR1220 SMD Metal Battery Holder","Battery Holder","CR1220","Metal","SMD","",320170002 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BAHO-CR1220-M-SMDS-01/BAHO-CR1220-M-SMDS-01-datasheet.pdf,
"BAHO-CR1220-X-SMDS-01","CR1220 SMD Battery Holder","Battery Holder","CR1220","","SMD","",320170000 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BAHO-CR1220-X-SMDS-01/BAHO-CR1220-X-SMDS-01-datasheet.pdf,
"BAPI-06-X-STAN-01","6 mm Badge Pin","Badge Pin","6 mm","","","",323050000 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BAPI-06-X-STAN-01/BAPI-06-X-STAN-01-datasheet.pdf,
"BREB-P400-C-STAN-01","400 Point Clear Breadboard","Breadboard","400 Point","Clear","","",,Multicomp,MCBB400,Cixi Industries,BB-801-2-72,Mouser,854-BB400T,Farnell,2395961,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BREB-P400-C-STAN-01/BREB-P400-C-STAN-01-datasheet.pdf,
"BUTA-06-X-02PI-01","6 mm 2 Pin Pushbutton (Tactile)","Pushbutton (Tactile)","6 mm","","2 Pin","",311020025 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BUTA-06-X-02PI-01/BUTA-06-X-02PI-01-datasheet.pdf,
"BUTA-06-X-SMDS-01","6 mm SMD Pushbutton (Tactile)","Pushbutton (Tactile)","6 mm","","SMD","",311020004 ,Omron,B3S-1000,Schurter,1301.9315,DigiKey,1301.9315-ND,Rapid Electronics,78-1132,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BUTA-06-X-SMDS-01/BUTA-06-X-SMDS-01-datasheet.pdf,
"BUTA-06-X-STAN-01","6 mm Pushbutton (Tactile)","Pushbutton (Tactile)","6 mm","","","",311020024 ,Shenzhen Best,TS-1109,TE Connectivity,1825910-6,Farnell,1555982,RS,479-1413,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BUTA-06-X-STAN-01/BUTA-06-X-STAN-01-datasheet.pdf,
"BUTA-07-X-SMDS-01","7 mm SMD Pushbutton (Tactile)","Pushbutton (Tactile)","7 mm","","SMD","",311020023 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BUTA-07-X-SMDS-01/BUTA-07-X-SMDS-01-datasheet.pdf,
